kernel,design,grid,dist,n_cells,rel_l2,pass,kernel_ms,ref_ms
v19-scatter,adaptec1,512,clouds,211447,1.958e-06,1,1.4426,320.1411
v19-scatter,adaptec1,512,cluster,211447,1.672e-06,1,1.4564,318.2205
v19-scatter,adaptec1,512,uniform,211447,3.890e-06,1,1.4522,323.7702
v19-scatter,adaptec1,1024,clouds,211447,5.911e-06,1,1.4541,326.5125
v19-scatter,adaptec1,1024,cluster,211447,5.503e-06,1,1.4681,327.7166
v19-scatter,adaptec1,1024,uniform,211447,1.016e-05,1,1.4994,349.2699
v19-scatter,adaptec1,2048,clouds,211447,1.626e-05,1,1.5443,359.0597
v19-scatter,adaptec1,2048,cluster,211447,1.724e-05,1,1.5868,352.2555
v19-scatter,adaptec1,2048,uniform,211447,2.242e-05,1,1.5839,379.1608
v19-scatter,adaptec2,512,clouds,255023,2.381e-06,1,2.0142,380.1625
v19-scatter,adaptec2,512,cluster,255023,1.578e-06,1,2.0664,378.5278
v19-scatter,adaptec2,512,uniform,255023,3.730e-06,1,2.0387,389.8948
v19-scatter,adaptec2,1024,clouds,255023,7.005e-06,1,2.0557,384.8379
v19-scatter,adaptec2,1024,cluster,255023,5.099e-06,1,2.0737,384.5733
v19-scatter,adaptec2,1024,uniform,255023,9.962e-06,1,2.0932,392.0771
v19-scatter,adaptec2,2048,clouds,255023,1.809e-05,1,2.1558,418.1492
v19-scatter,adaptec2,2048,cluster,255023,1.638e-05,1,2.1704,413.3587
v19-scatter,adaptec2,2048,uniform,255023,2.244e-05,1,2.1738,425.2516
v19-scatter,adaptec3,512,clouds,451650,1.981e-06,1,3.1945,670.7748
v19-scatter,adaptec3,512,cluster,451650,1.294e-06,1,3.2538,670.9041
v19-scatter,adaptec3,512,uniform,451650,3.062e-06,1,3.2213,679.5001
v19-scatter,adaptec3,1024,clouds,451650,6.132e-06,1,3.2369,679.4825
v19-scatter,adaptec3,1024,cluster,451650,3.980e-06,1,3.2756,682.6188
v19-scatter,adaptec3,1024,uniform,451650,8.912e-06,1,3.2868,690.8818
v19-scatter,adaptec3,2048,clouds,451650,1.719e-05,1,3.3221,715.9470
v19-scatter,adaptec3,2048,cluster,451650,1.355e-05,1,3.3920,715.0922
v19-scatter,adaptec3,2048,uniform,451650,2.154e-05,1,3.3677,739.4089
v19-scatter,bigblue1,512,clouds,278164,2.352e-06,1,1.9699,419.8970
v19-scatter,bigblue1,512,cluster,278164,1.535e-06,1,2.0282,418.4247
v19-scatter,bigblue1,512,uniform,278164,3.627e-06,1,2.0017,427.9839
v19-scatter,bigblue1,1024,clouds,278164,6.725e-06,1,1.9890,421.1832
v19-scatter,bigblue1,1024,cluster,278164,4.877e-06,1,2.0511,428.7367
v19-scatter,bigblue1,1024,uniform,278164,9.885e-06,1,2.1212,434.0334
v19-scatter,bigblue1,2048,clouds,278164,1.802e-05,1,2.0903,467.3288
v19-scatter,bigblue1,2048,cluster,278164,1.602e-05,1,2.1380,454.4073
v19-scatter,bigblue1,2048,uniform,278164,2.231e-05,1,2.1612,477.3757
v19-scatter,bigblue2,512,clouds,557866,1.502e-06,1,3.2037,837.7925
v19-scatter,bigblue2,512,cluster,557866,1.210e-06,1,3.2496,834.7972
v19-scatter,bigblue2,512,uniform,557866,2.851e-06,1,3.2464,839.0226
v19-scatter,bigblue2,1024,clouds,557866,3.981e-06,1,3.2389,837.9539
v19-scatter,bigblue2,1024,cluster,557866,3.645e-06,1,3.2681,847.4324
v19-scatter,bigblue2,1024,uniform,557866,8.557e-06,1,3.2681,850.5534
v19-scatter,bigblue2,2048,clouds,557866,1.138e-05,1,3.3509,899.2277
v19-scatter,bigblue2,2048,cluster,557866,1.268e-05,1,3.3875,876.4568
v19-scatter,bigblue2,2048,uniform,557866,2.117e-05,1,3.3632,910.2986
v19-scatter,bigblue3,512,clouds,1096812,1.514e-06,1,6.0737,1666.5150
v19-scatter,bigblue3,512,cluster,1096812,1.013e-06,1,6.3430,1615.9958
v19-scatter,bigblue3,512,uniform,1096812,2.195e-06,1,6.2858,1631.4839
v19-scatter,bigblue3,1024,clouds,1096812,3.445e-06,1,6.1335,1611.5190
v19-scatter,bigblue3,1024,cluster,1096812,2.687e-06,1,6.3468,1617.4429
v19-scatter,bigblue3,1024,uniform,1096812,7.061e-06,1,6.3155,1640.3480
v19-scatter,bigblue3,2048,clouds,1096812,8.339e-06,1,6.2634,1692.2651
v19-scatter,bigblue3,2048,cluster,1096812,9.654e-06,1,6.5182,1687.4255
v19-scatter,bigblue3,2048,uniform,1096812,1.947e-05,1,6.4747,1712.5108
