design,ncells,grid,span,v35_unif_ms,v35_clus_ms,cpu16t_ms,speedup_unif,rel_l2,imbal_unif,imbal_clus
a1,210904,512,2x2,1.578,1.588,1.53,0.97,5.0e-08,1.01,1.01
a1,210904,1024,4x2,1.793,1.754,2.27,1.27,5.7e-08,1.09,1.09
a1,210904,2048,6x3,2.183,2.553,4.52,2.07,7.0e-08,1.05,1.25
a2,255000,512,2x2,1.723,1.736,2.11,1.22,5.0e-08,1.01,1.01
a2,255000,1024,4x2,1.971,1.978,3.66,1.86,5.7e-08,1.09,1.09
a2,255000,2048,6x3,2.602,2.599,5.97,2.29,7.0e-08,1.05,1.25
a3,452000,512,2x2,2.020,2.035,4.05,2.01,5.0e-08,1.02,1.02
a3,452000,1024,4x2,2.462,2.456,5.88,2.39,5.7e-08,1.10,1.10
a3,452000,2048,6x3,3.489,3.489,12.62,3.62,7.0e-08,1.05,1.25
bb1,278000,512,2x2,1.727,1.746,2.30,1.33,5.0e-08,1.01,1.01
bb1,278000,1024,4x2,1.981,1.991,3.71,1.87,5.7e-08,1.09,1.09
bb1,278000,2048,6x3,2.618,2.636,7.21,2.75,7.0e-08,1.05,1.25
bb2,558000,512,2x2,2.056,2.069,4.23,2.06,5.0e-08,1.02,1.02
bb2,558000,1024,4x2,2.698,2.691,6.30,2.34,5.7e-08,1.10,1.10
bb2,558000,2048,6x3,3.925,3.939,13.17,3.36,7.0e-08,1.05,1.25
bb3,1100000,512,2x2,2.787,2.798,5.56,1.99,5.0e-08,1.03,1.03
bb3,1100000,1024,4x2,3.721,3.867,7.52,2.02,5.7e-08,1.11,1.11
bb3,1100000,2048,6x3,6.119,6.557,13.85,2.26,7.0e-08,1.04,1.22
# extreme-cluster stress (90% of cells in ~4% of columns), 2048 6x3:
a1,210904,2048,6x3,EXTREME,2.984,4.52,1.52,7.0e-08,-,1.67
a3,452000,2048,6x3,EXTREME,4.329,12.62,2.92,7.0e-08,-,1.67
bb3,1100000,2048,6x3,EXTREME,8.591,13.85,1.61,7.0e-08,-,1.67
