design,ncells,grid,span,cluster,chip_ms,rel_l2,imbal
a1,210904,512,2x2,0,0,1.578,5.01287e-08
a1,210904,512,2x2,1,1,1.588,5.03072e-08
a1,210904,1024,4x2,0,0,1.793,5.67339e-08
a1,210904,1024,4x2,1,1,1.754,5.71352e-08
a1,210904,2048,6x3,0,0,2.183,6.97088e-08
a1,210904,2048,6x3,1,1,2.553,7.00181e-08
a2,255000,512,2x2,0,0,1.723,5.01906e-08
a2,255000,512,2x2,1,1,1.736,5.03505e-08
a2,255000,1024,4x2,0,0,1.971,5.67676e-08
a2,255000,1024,4x2,1,1,1.978,5.7051e-08
a2,255000,2048,6x3,0,0,2.602,6.97784e-08
a2,255000,2048,6x3,1,1,2.599,6.99599e-08
a3,452000,512,2x2,0,0,2.020,5.01933e-08
a3,452000,512,2x2,1,1,2.035,5.03301e-08
a3,452000,1024,4x2,0,0,2.462,5.68235e-08
a3,452000,1024,4x2,1,1,2.456,5.69449e-08
a3,452000,2048,6x3,0,0,3.489,6.97705e-08
a3,452000,2048,6x3,1,1,3.489,7.00886e-08
bb1,278000,512,2x2,0,0,1.727,5.02266e-08
bb1,278000,512,2x2,1,1,1.746,5.03555e-08
bb1,278000,1024,4x2,0,0,1.981,5.67215e-08
bb1,278000,1024,4x2,1,1,1.991,5.70046e-08
bb1,278000,2048,6x3,0,0,2.618,6.97859e-08
bb1,278000,2048,6x3,1,1,2.636,7.01179e-08
bb2,558000,512,2x2,0,0,2.056,5.01759e-08
bb2,558000,512,2x2,1,1,2.069,5.03277e-08
bb2,558000,1024,4x2,0,0,2.698,5.68491e-08
bb2,558000,1024,4x2,1,1,2.691,5.69834e-08
bb2,558000,2048,6x3,0,0,3.925,6.98352e-08
bb2,558000,2048,6x3,1,1,3.939,7.00304e-08
bb3,1100000,512,2x2,0,0,2.787,5.02376e-08
bb3,1100000,512,2x2,1,1,2.798,5.02562e-08
bb3,1100000,1024,4x2,0,0,3.721,5.67779e-08
bb3,1100000,1024,4x2,1,1,3.867,5.69249e-08
bb3,1100000,2048,6x3,0,0,6.119,6.97685e-08
bb3,1100000,2048,6x3,1,1,6.557,6.99725e-08
