config         |   h2d scatter    DCT  FWDtot| count  plan  place  gather  unsort   BWDtot|iters
adaptec1_512   | 0.641   4.723  0.970   7.541| 0.493 0.242  1.243   2.051   1.445    5.482|  598
adaptec1_1024  | 0.675   5.921  1.029   9.291| 0.533 0.264  1.087   2.036   1.701    5.636|  665
adaptec1_2048  | 0.801  12.202  2.791  19.948| 0.543 0.473  1.108   3.273   2.033    7.442|  682
adaptec2_512   | 1.072   7.697  0.979  11.129| 0.755 0.259  1.939   2.960   2.139    8.060|  587
adaptec2_1024  | 0.939   8.519  0.986  12.101| 0.791 0.266  1.829   2.868   2.114    7.878|  636
adaptec2_2048  | 0.931  13.069  2.795  20.738| 0.806 0.433  1.851   3.406   2.678    9.167|  745
adaptec3_512   | 2.989  16.430  1.083  22.060| 1.653 0.291  4.347   5.403   4.692   16.394|  662
adaptec3_1024  | 2.367  16.557  1.097  21.889| 1.662 0.303  4.280   5.601   4.610   16.461|  670
adaptec3_2048  | 2.480  19.245  2.810  28.861| 1.703 0.472  4.590   6.194   5.882   18.835| 1115
bigblue1_512   | 0.982   7.665  0.909  10.771| 0.785 0.247  2.053   2.978   2.277    8.352|  638
bigblue1_1024  | 1.255   9.454  1.119  13.618| 0.816 0.282  1.985   2.791   2.264    8.150|  923
bigblue1_2048  | 1.000  18.710  2.794  26.643| 0.844 0.428  1.991   4.540   2.825   10.631|  767
bigblue2_512   | 2.918  18.056  0.966  23.259| 1.731 0.276  4.606   5.767   4.986   17.325|  627
bigblue2_1024  | 2.162  19.570  1.090  24.625| 1.787 0.299  4.848   6.379   4.994   18.297|  682
bigblue2_2048  | 2.086  23.331  2.787  32.442| 1.799 0.371  4.834   6.553   6.231   19.761|  903
bigblue3_512   | 3.025  23.698  1.135  29.151| 2.380 0.294  6.366   7.431   6.856   23.339|  682
bigblue3_1024  | 2.831  26.536  1.141  32.376| 2.425 0.304  6.764   8.448   6.820   24.716|  720
bigblue3_2048  | 2.807  32.791  2.767  42.503| 2.443 0.428  6.760  10.032   8.655   28.285|  861
